Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,Cafo Population,Cafo Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,...30
3B Land,"10808 Road 152, Tipton, CA 93272",El Monte Dairy,"10410 Avenue 160, Tipton, CA 93272",36.08402,-119.33951,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545172001,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2270,Mature dairy cattle,null,0,0,NA
3B Land GP,"14808 Road 152, Tipton, CA 93272",Van Beek Brothers Dairy,"14808 Road 152, Tipton, CA 93272",36.06045,-119.2294,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00045,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2825,Mature dairy cattle,null,1,2,NA
"3R Land and Development, LLC","1915 South Madsen Street, Visalia, CA 93277","3R Land and Development, LLC feedlot","11571 Avenue 120, Pixley, CA 93256",36.007211,-119.325264,Animal Feeding Facility,null,Tulare,5F,ANIWSTOTH,Active,WDR,R5-2017-0058,5C54NC00383,null,06/08/2017,03/05/2019,null,06/08/2022,null,null,null,null,200,Calf feedlots,146,2,2,NA
4K Dairy Family Partnership,"7976 Avenue 84, Pixley, CA 93256",4K Dairy Farm Partnership,"7976 Avenue 84, Pixley, CA",35.943926,-119.398108,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00043,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2878,Mature dairy cattle,null,0,0,NA
5C Farms,"Po Box 216, Five Points, CA 93624",Milky Way Dairy,"10610 West Whitesbridge Avenue, Fresno, CA 93706",36.736816,-119.981034,Animal Feeding Facility,0241,Fresno,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D105026N01,null,null,06/29/2007,null,10/02/2018,null,null,null,null,0,Mature dairy cattle,null,0,0,NA
"6BRK, LLC","25079 West River Road, Stevinson, CA 95374",Kevin Ranch,"21 South Van Clief Road, Stevinson, CA 95374",37.28437,-120.83339,Animal Feeding Facility,0211,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B24NC00385,null,null,04/11/2019,null,null,null,null,null,null,400,Calf feedlots,91,0,0,NA
A Vitoria Dairy,"Po Box 327, Crows Landing, CA 95313",Arthur Vitoria Dairy,"14018 Crows Landing Road, Crows Landing, CA 95313",37.4324,-121.01243,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00048,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1023,Mature dairy cattle,null,1,6,NA
A&L Dairy LP,"23929 Road 48, Tulare, CA 93274",A & L Dairy,"23863 Road 48, Tulare, CA 93274",36.22519,-119.47081,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00209,null,null,06/29/2007,null,10/02/2018,null,null,A,1,486,Mature dairy cattle,null,0,0,NA
A&M Farms,"10470 West Manning Avenue, Fresno, CA 93706",A & M Farms Dairy,"10350 West Manning Avenue, Fresno, CA 93706",36.60686,-119.978169,Animal Feeding Facility,0241,Fresno,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C10NC00061,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2236,Mature dairy cattle,null,0,0,NA
"A. Rossi, Inc.","Po Box 837, Ripon, CA 95366",Da Silva LP Brennan Road,"14089 South Brennan Road, Escalon, CA 95320",37.83398,-121.02081,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00163,null,06/29/2007,06/29/2007,null,10/02/2018,0,null,C,1,500,Heifers (non dairy affiliated),null,1,1,NA
A.J. DeGroot,"7815 Midway Road, Dixon, CA 95620",HD Ranch,"7755 Midway Road, Dixon, CA 95620",38.416163,-121.744673,Animal Feeding Facility,0241,Solano,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5A48NC00017,null,null,06/29/2007,null,10/02/2018,null,null,A,1,3888,Mature dairy cattle,null,0,0,NA
AB & Gertrude Barrera,"148 Arroyo Grande Way, Los Gatos, CA 95032",Barrera Feedlot,"1666 West Main Street, Crows Landing, CA 95380",37.49133,-121.0166,Animal Feeding Facility,0211,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00393,null,null,04/09/2019,null,null,null,null,null,null,275,Calf feedlots,96,0,0,NA
ABEC #13 Hollandia,"324 South Santa Fe Street B, Visalia, CA 93292",Hollandia Farms North Dairy,"7905 Kansas Avenue, Hanford, CA 93230",36.208724,-119.596573,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,WDR,R5-2010-0130,5D165080001,null,12/10/2010,05/18/2021,null,05/18/2026,null,null,null,null,2839,Mature dairy cattle,null,0,0,NA
AG Recycle Corporation,"19765 13th  Avenue, Hanford, CA 93230",Ag Recycle Inc,"35253 West Shaw Avenue, Firebaugh, CA 93622",36.807113,-120.426142,Animal Feeding Facility,0241,Fresno,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5C10NC00115,null,null,01/09/2020,null,01/15/2025,null,null,null,null,4236,Heifers (non dairy affiliated),2030,1,1,NA
"APC, LLC","10916 Amsterdam Road, Winton, CA 95338","Nicholas Calf Ranch, LLC","10916 North Amsterdam Road, Winton, CA 95388",37.454725,-120.539379,Animal Feeding Facility,0211,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B24NC00398,null,null,04/03/2019,null,null,null,null,A,1,11195,Calf feedlots,2834.65,0,0,NA
