facility_name,facility_address,latitude,longitude,county,cafo_population,cafo_subtype,type,milking,other,total,enteric_methane,manure_methane,total_methane,project_id_number,sub_program_name,project_life_years,date_operational,annual_project_ghg_reductions,adjusted_manure_methane,adjusted_total_methane,labeltext,mitigation
El Monte Dairy,"10410 Avenue 160, Tipton, CA 93272",36.08402,-119.33951,Tulare,2270,Mature dairy cattle,Dairy,2270,2483,4753,472.172,159.32600000000002,631,18-0445-000-DD,Dairy Digester Research and Development Program,10,2020-09-30,475.61199999999997,0,472,<b>Name: </b>El Monte Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>472 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
4K Dairy Farm Partnership,"7976 Avenue 84, Pixley, CA",35.943926,-119.398108,Tulare,2878,Mature dairy cattle,Dairy,2878,3147,6025,598.572,201.99800000000002,801,18-0372-000-DD,Dairy Digester Research and Development Program,10,2020-01-01,768.572,0,599,<b>Name: </b>4K Dairy Farm Partnership</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>599 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
A & L Dairy,"23863 Road 48, Tulare, CA 93274",36.22519,-119.47081,Tulare,486,Mature dairy cattle,Dairy,486,531,1017,101.05199999999999,32.652,134,19-0911-000-SO,Alternative Manure Management Program,5,2020-10-31,20.96,11.692,113,<b>Name: </b>A & L Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>113 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Hollandia Farms North Dairy,"7905 Kansas Avenue, Hanford, CA 93230",36.208724,-119.596573,Kings,2839,Mature dairy cattle,Dairy,2839,3105,5944,590.502,190.745,781,17-0507-000-DD,Dairy Digester Research and Development Program,10,2020-03-31,713.704,0,591,<b>Name: </b>Hollandia Farms North Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>591 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
"Ackerman Dairy, Inc.","6942 South Central Avenue, Ceres, CA 95307",37.5376,-120.95688,Stanislaus,1610,Mature dairy cattle,Dairy,1610,1761,3371,334.884,108.17200000000001,443,18-0387-000-DD,Dairy Digester Research and Development Program,10,2020-02-01,358.296,0,335,"<b>Name: </b>Ackerman Dairy, Inc.</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>335 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project",Dairy digester
Double D Dairy #2,"3636 East Monte Vista Road, Ceres, CA 95307",37.51804,-120.92865,Stanislaus,575,Mature dairy cattle,Dairy,575,629,1204,119.606,38.633,158,17-0656-000-AM,Alternative Manure Management Program,5,2019-06-30,88.64,0,120,<b>Name: </b>Double D Dairy #2</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>120 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Agresti Heifer Ranch,"7725 South Central Avenue, Ceres, CA 95307",37.52471566,-120.9585715,Stanislaus,2400,Heifers (non dairy affiliated),Other,0,2400,2400,153.6,4.8,158,20-1055-000-SO,Alternative Manure Management Program,5,2021-05-31,43.136,0,154,<b>Name: </b>Agresti Heifer Ranch</br><b>Type: </b>Other</br><b>Methane emissions: </b>154 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Blue Sky Dairy,"4390 North Fox Road, Merced, CA 95301",37.35256,-120.5473,Merced,1875,Mature dairy cattle,Dairy,1875,2051,3926,390.014,122.227,512,19-0918-000-SO,Alternative Manure Management Program,5,2020-03-01,70.08800000000001,52.138999999999996,442,<b>Name: </b>Blue Sky Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>442 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded manure management project,Manure management
Ahlem Farms Partnership,"24093 West American Avenue, Hilmar, CA 95324",37.41194,-120.92694,Merced,3450,Mature dairy cattle,Dairy,3450,3773,7223,717.572,231.796,949,19-0843-000-SO,Dairy Digester Research and Development Program,10,2021-11-30,612.604,0,718,<b>Name: </b>Ahlem Farms Partnership</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>718 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
Gold Medal Ag #1 Dairy,"9483 Columbus Avenue, Hilmar, CA 95324",37.42589,-120.86807,Merced,2400,Mature dairy cattle,Dairy,2400,2625,5025,499.2,161.25,660,19-0854-000-SO,Dairy Digester Research and Development Program,10,2021-11-30,328.86400000000003,0,499,<b>Name: </b>Gold Medal Ag #1 Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>499 metric tons<br><br>Emissions adjusted to account for claimed reductions from a state-funded dairy digester project,Dairy digester
