facility_name,facility_address,project_id_number,reporting_cycle_name,agency_name,program_name,program_description,sub_program_name,record_type,project_name,project_type,project_description,census_tract,project_address,senate_district,assembly_district,project_county,total_project_cost,total_program_ggrf_funding,project_life_years,total_project_ghg_reductions,date_operational,project_completion_date,funding_recipient,annual_project_ghg_reductions
Maple Dairy,"15857 Bear Mountain Boulevard, Bakersfield, CA 93311",17-0497-000-DD,2017,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Maple Dairy Biogas,new dairy digester,"Maple Dairy, in Bakersfield, CA will build a Tier 1 designed manure only covered lagoon with enhanced gas storage, gas pre-treatment and effluent distribution.  The project will add sand lane and screens for solid separation pre-digester.  Blowers will deliver biogas to an adjacent centralized upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting Socal Gas Rule 30 specifications.  A gas compressor lifts the gas pressure to Socal's Point of Receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the projects biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"15857 Bear Mountain Blvd, Bakersfield, CA 93311",12,32,Kern,8331773,3e+06,10,342587,2020-03-31,2020-03-31,-,34258.7
Bellanave Dairy,"14461 Taft Highway, Bakersfield, CA 93311",18-0366-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Belonave Dairy Biogas LLC,new dairy digester,"Belonave, a dairy operation located in Bakersfield, CA will build a Tier 1 designed manure only covered lagoon with enhanced gas storage, gas pre-treatment and effluent distribution.  The project will include a sand lane, screens and mechanical separator with screw press for solid separation pre-digester.  A compressor will deliver biogas via a biogas gathering line to a centralized upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting SoCalGas Rule 30 specifications.  A gas compressor lifts the gas pressure to SoCalGas's point of receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the project's biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"14461 Taft Highway , Bakersfield , CA  93311",12,32,Kern,5458162,1918099,10,225659,2020-09-30,2020-09-30,-,22565.9
Double J Dairy,"6656 Avenue 328, Visalia, CA 93291",18-0354-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Double J Dairy Biogas,new dairy digester,"Double J Dairy, a dairy operation located in Visalia, CA will build a Tier 1 designed manure only covered lagoon with enhanced gas storage, gas pre-treatment and effluent distribution.  The project will include a sand lane, screens and mechanical separator with screw press for solid separation pre-digester.  A compressor will deliver biogas via a biogas gathering line to a centralized upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting SoCalGas Rule 30 specifications.  A gas compressor lifts the gas pressure to SoCalGas's point of receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the project's biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"6656 Ave 328 , Visalia , CA - 93291",16,33,Tulare,6716522,2426716,10,285496,2020-09-30,2020-09-30,-,28549.6
South Point Ranch,"13668 Avenue 13, Madera, CA 93637",19-0846-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Southpoint Ranch Dairy Biogas,New Dairy Digester,"Southpoint Ranch Dairy will install a Tier 1 designed manure only covered lagoon digester with integrated gas storage and pre-treatment. An on-dairy biogas conditioning station will remove hydrogen sulfide from this dairy's digester gas and from the neighboring Capstone Ranch dairy's digester gas and then meter and move the clean biogas directly into a co-located, ultra-clean, high efficiency 3.5 MW Bloom Energy fuel cell interconnected to PG&E.   CalBio will generate LCFS credits by directly matching generation and supplying the renewable energy credits to in-state electric vehicle re-charging load.  California Bioenergy is the project developer.",,"13668 Avenue 13, Madera, CA 93637",14,27,Madera,16642393,3e+06,10,484999,2021-11-30,2021-11-30,-,48499.9
Horizon Jerseys Dairy,"8798 Avenue 160, Tipton, CA 93272",18-0363-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Horizon Jersey Dairy Biogas,new dairy digester,"Horizon Jersey Dairy, a dairy operation located in Tipton, CA will build a Tier 1 designed manure only covered lagoon with enhanced gas storage, gas pre-treatment and effluent distribution.  The project will include a sand lane, screens and mechanical separator with screw press for solid separation pre-digester.  A compressor will deliver biogas via a biogas gathering line to a centralized upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting SoCalGas Rule 30 specifications.  A gas compressor lifts the gas pressure to SoCalGas's point of receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the project's biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"8798 Ave 160, Tipton, CA 93272",16,33,Tulare,6985835,2850886,10,335398,2020-09-30,2020-09-30,-,33539.8
Dixie Creek Ranch,"3601 Lacey Boulevard, Hanford, CA 93230",19-0827-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Dixie Creek Dairy Digester Pipeline Project,New Dairy Digester,"Dixie Creek Dairy Digester Pipeline Project is a new covered lagoon digester processing in Kings County, California. The project is a part of the Lakeside Pipeline cluster, developed by Maas Energy Works and majority owned by participating dairy families. This cluster was selected as an SB-1383 Pilot Project. This individual digester 100% producer-owned by the host dairy family, and developed and operated by Maas Energy Works.  The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub near River Ranch dairy. There, the biogas will be used to fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be injected into the SoCalGas utility pipeline for delivery to contracted CNG fueling stations around the state--similar to the Project Team's and DDRDP's successful Calgren Dairy Fuels cluster, which is currently injecting utility-grade renewable natural gas.",,"3601 CA-198, Hanford, CA 93230",16,33,Kings,4872060,2436030,10,271176,2021-11-30,2021-11-30,-,27117.6
Carlos Echeverria & Sons Dairy,"20229 Old River Road, Bakersfield, CA 93311",DDD15006,2016,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,"Carlos Echeverria & Sons Dairy Biogas Project (ABEC #4, LLC)",New Dairy Digester Facility,The Carlos Echeverria & Sons Dairy digester is a new covered lagoon digester project. Biogas from the digester will produce 7.6 million kWh renewable electricity per year.,,"20229 Old River Road, Bakersfield CA 93311",12,32,Kern,8969700,1e+06,10,201200,2017-06-30,2017-06-30,-,20120
Wreden Ranch Dairy,"8749 Lansing Avenue, Hanford, CA 93230",17-0490-000-DD,2017,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Wreden Ranch Dairy Biogas,new dairy digester,"Wreden Ranch, will build a Tier 1 designed manure only covered lagoon digester with enhanced gas storage, gas pre-treatment and effluent distribution.  The project will add sand lane and screens for solid separation pre-digester.  Blowers will deliver biogas to an adjacent centralized upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting So Cal Gas Rule 30 specifications.  A gas compressor lifts the gas pressure to So Cal's Point of Receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the projects biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"8749 Lansing Avenue Hanford, CA 93230",16,33,Kings,7735860,3e+06,10,393915,2020-03-31,2020-03-31,-,39391.5
Poso Creek Family Dairy,"13437 Gun Club Road, Wasco, CA 93280",20-1031-000-SO,2021 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Poso Creek Dairy Biogas,WASTE DIVERSION AND UTILIZATION,"The project is committed to build a tier 1 double-lined, covered lagoon digester, a biogas conditioning system (iron sponge and activated carbon based H2S scrubber), a biogas to biomethane upgrader (skid mounted and located on-site) and a high pressure tube trailer truck loading station. The system will be shared with the neighboring Boschma and Sons Dairy. The produced RNG will be tube-trailered down to CalBioGas Buttonwillow interconnection location, or alternatively other nearby CalBio facilities, for off-loading and metering into the SoCalGas pipeline.",,"13437 Gun Club Road, Wasco, CA 93280",16,35,Kern,6809486,1464930,10,171854,2023-01-31,2023-01-31,-,17185.4
Cloverdale Dairy,"19142 10 1/2 Avenue, Hanford, CA 93230",17-0492-000-DD,2017,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Cloverdale Dairy Biogas,new dairy digester,"Cloverdale Dairy in Hanford, CA will build a Tier 1 designed manure only covered lagoon digester with enhanced gas storage, gas pre-treatment and effluent distribution.  The project will add sand lane and screens for solid separation pre-digester.  Blowers will deliver biogas to an adjacent centralized upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting Socal Gas Rule 30 specifications.  A gas compressor lifts the gas pressure to So Cal's Point of Receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the projects biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"19142 10 1/2 Avenue, Hanford, CA 93230",16,33,Kings,7836793,3e+06,10,360851,2020-03-31,2020-03-31,-,36085.1
