facility_name,type,mitigation,adjusted_total_methane
"Brandt Company, Inc",Other,—,9167
Harris Ranch Feeding Company (Bovine),Other,—,8039
Grimmius Cattle Company — East Ranch,Other,—,7150
Grimmius Cattle Company,Other,—,5952
Vander Eyk & Son Dairy Complex,Dairy,—,2998
Bidart Dairy No. 2,Dairy,—,2514
Meadowlake Dairy,Dairy,—,2470
Mesquite Feedyard,Other,—,2442
3 Brands Cattle Company,Other,—,2310
SCF — Main Yard,Other,—,2310
Hilarides Dairy,Dairy,—,2204
Hettinga Dairy — San Jacinto,Dairy,—,2188
Bar 20 Dairy No. 2 & 3,Dairy,Dairy digester,2175
"Channel Islands Dairy Farms, LLC",Dairy,—,2113
Vlot Calf Ranch,Dairy,—,1899
Costa View Farms Dairy #2,Dairy,—,1892
Cow Palace Dairy,Dairy,—,1866
SCF — Hannon Yard,Other,—,1650
Still Water Ranch LLC,Dairy,—,1607
N & M Dairy,Dairy,—,1601
A & A Cattle/Raymar Farms,Other,—,1591
CalfTech Corp #2,Other,—,1584
Diamond H Dairy,Dairy,—,1579
Zonneveld Dairies Complex,Dairy,—,1558
Maple Dairy,Dairy,Dairy digester,1522
Mendes Calf Ranch #2,Other,—,1518
Double J Dairy,Dairy,Dairy digester,1466
TRI—Iest Dairy,Dairy,—,1447
South Point Ranch,Dairy,Dairy digester,1435
Bellanave Dairy,Dairy,Dairy digester,1428
Ramona Dairy,Dairy,—,1406
Milky Way Dairy,Dairy,—,1391
"Coronado Dairy Farms, LLC",Dairy,—,1388
Iest Family Farms Dairy,Dairy,—,1377
Horizon Jerseys Dairy,Dairy,Dairy digester,1369
Dixie Creek Ranch,Dairy,Dairy digester,1352
River Ranch Dairy,Dairy,Dairy digester,1321
AJB Ranch Dairy,Dairy,—,1291
Hein Hettinga/A & H Dairy 1&2,Dairy,—,1280
Wreden Ranch Dairy,Dairy,Dairy digester,1279
Manuel Godinho Dairy,Dairy,Manure management,1271
Poso Creek Family Dairy,Dairy,Dairy digester,1255
Carlos Echeverria & Sons Dairy,Dairy,Dairy digester,1238
Johann Dairy,Dairy,—,1229
Hillcrest Dairy,Dairy,Manure management,1213
Cloverdale Dairy,Dairy,Dairy digester,1207
Golden Star Cattle Ranch #2,Other,—,1193
Standard Cattle Company Feedlot,Other,—,1190
Double Diamond Dairy,Dairy,Dairy digester,1148
Riverbend Dairy,Dairy,Dairy digester,1138
Diamond D LLC Dairy,Dairy,—,1135
Western Sky Dairy,Dairy,Dairy digester,1134
Moiola Bros Cattle — Main Yard,Other,—,1122
SCF — Fairline Yard,Other,—,1122
West—Star North Dairy,Dairy,Dairy digester,1121
Tjaarda Dairy,Dairy,—,1110
Open Sky Dairy,Dairy,Dairy digester,1109
Antonio Azevedo Dairy #1,Dairy,—,1106
DeJager Dairy #2 North,Dairy,—,1106
John Vander Poel Dairy (Pixley),Dairy,Dairy digester,1095
California Dairy Farms,Dairy,—,1093
"El Toro Land & Cattle Co, Inc (Heber)",Other,—,1093
Sierra Blanca Ranch,Dairy,—,1080
HD Ranch,Dairy,—,1070
Maddox Dairy,Dairy,—,1065
D & V Dairy,Dairy,—,1052
Maya Dairy,Dairy,Dairy digester,1041
T & W Farms Dairy,Dairy,Dairy digester,1037
K & M Visser Dairy,Dairy,Dairy digester,1034
Schaffner Dairy,Dairy,—,1030
Riverbed Dairy — 38980 Record,Dairy,—,1012
Vanden Berge Dairy,Dairy,—,998
Gallo Cottonwood Dairy,Dairy,—,993
"Meirinho Holsteins, LP",Dairy,—,991
Phillips Cattle Co.,Other,—,990
