auth_no,name,animal_type,latitude,longitude,digester,total,milking,other,type,enteric_methane,manure_methane,total_methane,labeltext
TXG920007,Milk Harvest Dairy,5700 TOTAL DAIRY CATTLE OF WHICH 2750 ARE MILKING DAIRY CATTLE,34.022222,-102.43972,FALSE,5700,2750,2950,Dairy,568.3,209.4,778,<b>Name: </b>Milk Harvest Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>778 metric tons
TXG920008,Adolfo Tapia Dairy,5150 TOTAL DAIRY CATTLE OF WHICH 1550 ARE MILKING DAIRY CATTLE,31.380166,-100.155845,FALSE,5150,1550,3600,Dairy,444.3,121.9,566,<b>Name: </b>Adolfo Tapia Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>566 metric tons
TXG920025,Fluit Dairy,2000 TOTAL DAIRY CATTLE OF WHICH 1600 ARE MILKING DAIRY CATTLE,32.16,-98.375,FALSE,2000,1600,400,Dairy,246.4,119.2,366,<b>Name: </b>Fluit Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>366 metric tons
TXG920030,Simpson Dairy,1200 TOTAL DAIRY CATTLE OF WHICH 1200 ARE MILKING DAIRY CATTLE,31.766666,-98.966666,FALSE,1200,1200,0,Dairy,165.6,78,244,<b>Name: </b>Simpson Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>244 metric tons
TXG920039,Pleasant Hill West,699 TOTAL DAIRY CATTLE OF WHICH 675 ARE MILKING DAIRY CATTLE,33.100966,-95.319316,FALSE,699,675,24,Dairy,94.686,49.998,145,<b>Name: </b>Pleasant Hill West</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>145 metric tons
TXG920040,Triple X Dairy,6896 TOTAL DAIRY CATTLE OF WHICH 4000 ARE MILKING DAIRY CATTLE,31.854444,-98.578611,FALSE,6896,4000,2896,Dairy,737.344,301.792,1039,"<b>Name: </b>Triple X Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>1,039 metric tons"
TXG920041,Simpson Ranch Feedyard,CATTLE (BEEF) - 7500,31.684333,-100.33033,FALSE,7500,0,7500,Other,480,15,495,<b>Name: </b>Simpson Ranch Feedyard</br><b>Type: </b>Other</br><b>Methane emissions: </b>495 metric tons
TXG920043,5 Star Dairy,5000 TOTAL DAIRY CATTLE OF WHICH 2200 ARE MILKING DAIRY CATTLE,34.016666,-102.45833,FALSE,5000,2200,2800,Dairy,482.8,168.4,651,<b>Name: </b>5 Star Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>651 metric tons
TXG920046,Borderland Feeders,CATTLE (BEEF) - 8000,31.536388,-106.18527,FALSE,8000,0,8000,Other,512,16,528,<b>Name: </b>Borderland Feeders</br><b>Type: </b>Other</br><b>Methane emissions: </b>528 metric tons
TXG920057,Bouma Dairy,1200 TOTAL DAIRY CATTLE OF WHICH 1200 ARE MILKING DAIRY CATTLE,32.980666,-95.328666,FALSE,1200,1200,0,Dairy,165.6,88.8,254,<b>Name: </b>Bouma Dairy</br><b>Type: </b>Dairy</br><b>Methane emissions: </b>254 metric tons
