name,type,total_methane
Morning Star Dairy,Dairy,14702
Exum Farms,Dairy,13795
Hartley Farms,Dairy,13681
North Dumas Farms,Dairy,13096
Deer Creek Feeding,Other,12220
South Dumas Farms,Dairy,8454
Eastside Dairy,Dairy,8207
Dalhart Cattle Feeders,Other,8125
7M Cattle Feeders,Other,7590
Lone Star Calf Ranch,Other,6930
Stratford Feedlot,Other,6695
Barrett Crofoot East,Other,6600
Bar G Feedyard,Other,6600
Spearman Cattle Feeders,Other,6305
Rafter 3 Feedyard,Other,5940
Quien Sabe Feeders,Other,5940
Wheeler Feeder Series,Other,5940
Hansford County Feeders,Other,5850
Cactus Feedyard,Other,5766
Wolf Creek Feedyard,Other,5525
Reliable Feeders,Other,5494
MC6 Cattle Feeders,Other,5445
Texas Beef Producers Feedyard,Other,5362
Hale Center Feedyard,Other,5280
XIT Feeders,Other,5200
Coronado Feeders,Other,5200
Dimmitt Feed Yard,Other,5148
Western Cattle Feeders,Other,5082
Hartley Feeders,Other,5070
Canadian Feedyard,Other,4950
South Fork Dairy,Dairy,4812
Bovina Cattle,Other,4620
F Troop Feeders,Other,4455
Frontera Cattle,Other,4455
Cobalt Cattle Tulia,Other,4455
Westside Jerseys,Dairy,4271
Sunrise Farms Hartley,Dairy,4245
D & J Dairy,Dairy,4198
Bar G 2 Feedyard,Other,3960
Arroyo Seco 2,Other,3960
Frontier Feedyard,Other,3861
G2 Producers East,Dairy,3766
Natural Prairie Dairy Farms,Dairy,3735
Wrangler Feedyard,Other,3630
Mission Dairy,Dairy,3606
Nortex Feeders,Other,3494
Wheeler Land & Livestock,Other,3465
Champion Feeders,Other,3432
Sugarland Cattle Feeders,Other,3432
OT Feedyard & Research Center,Other,3300
Spandet Heifer Yard,Other,3300
Lubbock Feeders,Other,3300
V&T Land And Cattle,Other,3300
Dean Cluck Feedyard,Other,3250
North Star Dairy,Dairy,3102
High Noon Dairy,Dairy,3087
Cnossen Heifer Yard,Dairy,3072
Newtex Feedyard,Other,2970
Oppliger Feedyard Sunnyside,Other,2970
North Fork Feedyard,Other,2970
Southwest Feedyard,Other,2970
Cobalt Cattle Hereford,Other,2970
HJ & Co Feeders,Other,2970
Daisy Farms Dairy,Dairy,2963
L1C Feedyard,Other,2925
Northside Farms,Dairy,2866
Tierra Blanca Cattle Feeders,Other,2822
Cnossen Dairy,Dairy,2771
Southside Dairy 1,Dairy,2715
Vanderham Dairy II,Dairy,2688
Cal Tex Feed Yard,Other,2640
Cantex Feeders,Other,2640
CBJ 2,Other,2640
Dalhart Jersey Ranch,Other,2600
Carrizo Feeders,Other,2600
Bezner Beef,Other,2599
Del Rio Dairy,Dairy,2568
Rogers & Sons II,Other,2508
Red Rock Dairy,Dairy,2488
BF2,Other,2442
Tascosa Feedyard,Other,2438
Palo Duro Feeders,Other,2405
Frontier Feedlot,Dairy,2388
Coyote Lake Feeders,Other,2376
III Agri Enterprises,Other,2376
Seminole Growers,Other,2310
Waggoner Cattle,Other,2310
Tuls Cattle IV,Other,2310
Golden J Jerseys,Dairy,2280
Freeman Feedlot,Other,2275
Skiles Feedyard,Other,2275
Blue Nose Cattle North,Other,2244
Lindel Dairy,Dairy,2223
Rogers And Sons,Other,2178
Midway Heifer Yards,Other,2178
Legacy Farms,Dairy,2087
Dairy Fountain,Dairy,2008
Circle Three Feedyard,Other,1980
Kirkland Feedyard,Other,1980
Desperado Dairy,Dairy,1980
Mid Frisian Farms East,Other,1980
Little River Ranch,Other,1980
FB Lariat Dairy,Dairy,1967
White River Ranch,Dairy,1955
Kabil Cattle,Other,1950
Flint Rock Feeders,Other,1950
Froese Custom Harvest Feedlot,Other,1950
JD Myrick Feedyard,Other,1947
Setting Sun Dairy,Dairy,1946
Exum Farms West,Dairy,1892
TMC Dairies,Dairy,1873
Lazbuddie Feedyard,Other,1841
Sundance Dairy,Dairy,1831
Double S Dairies,Dairy,1808
Plainview Feeders II,Other,1782
Caprock Dairy,Dairy,1745
Lipan Cattle Feeders,Other,1716
A Tex Dairy,Dairy,1699
Coldwater East,Dairy,1694
Guess Calf Ranch,Other,1683
La Babia Cattle Feeders,Other,1683
Go Foods Livestock Division,Other,1650
Mclean Farm,Other,1650
Diamond B Feedyard,Other,1650
Busher Ranch Feedyard,Other,1650
CBJ Farms,Dairy,1629
Wildcat Dairy,Dairy,1609
Hudson Rocky Creek Ranch Feedyard,Other,1584
Carson County Feedyar,Other,1485
Full Circle Jerseys,Dairy,1446
Evergreen Farms,Dairy,1437
Southside Dairy 2,Dairy,1436
Spandet Dairy 3,Dairy,1415
High Plains Dairy Friona,Dairy,1402
Natural Prairie Dairy Farms Barns 4 & 5,Dairy,1390
Fox Dairy,Dairy,1335
Avi-Lanche Jerseys,Dairy,1327
Still Meadow Dairy,Dairy,1324
Vista Grande Dairy,Dairy,1321
Hefley Feeders,Other,1320
Diamond Cattle Feeders,Other,1320
Starr Feedyards,Other,1320
King Ranch,Other,1320
Rio Beef Feedyard,Other,1320
145 Ranch,Other,1320
Gene Scivally Cattle,Other,1320
Blue Nose Cattle South,Other,1320
Dettles Coldwater Creek Cattle,Other,1300
Outlier Dairy South,Dairy,1298
MX7 Dairy,Dairy,1258
Boer Dairy,Dairy,1253
Etter Dairy,Dairy,1227
Carrizo Cattle Feedlot,Other,1206
Rancho Pepper,Dairy,1190
Friendship Dairy 2,Dairy,1188
F Troop Feeders East,Other,1188
Dumas Dairy,Dairy,1176
High Lonesome Dairy,Dairy,1167
Ridge View Dairy,Dairy,1124
Howell Cattle,Other,1122
V B Ranch,Dairy,1110
TJ Dairy,Dairy,1106
Hogg Dairy,Dairy,1092
North Muleshoe Dairy,Dairy,1068
Descanso Dairy,Dairy,1060
Sweetwater Creek Dairy,Dairy,1046
Coldwater West,Dairy,1044
Presidio Farms,Dairy,1041
Triple X Dairy,Dairy,1039
3-H Dairy Progress Site,Dairy,1035
Skyward Dairy,Dairy,1032
Mark Cates,Other,1020
